1.72,0.62,0.7,2.15,0.66,1.23,2.24,0.48,0,2.11,5.23,5.01,0.75,0.35,2.55,1.63,0.79,28.31,1,101
1.48,0.38,0.63,1.85,0.93,1.48,2.28,0.21,0.17,1.77,3.46,4.34,0.59,0.25,1.77,1.39,0.8,23.91,2,101
1.72,0.34,1.12,1.55,0.9,1.68,2.84,0.17,0.17,2.84,5.03,5.85,0.65,0.17,2.32,1.94,0.82,30.15,3,101
2.74,0.9,2.43,1.21,1.03,3.46,3.06,0.22,0.31,2.47,3.15,3.28,0.67,0.09,1.89,1.71,0.81,29.43,4,101
2.15,0.39,0.61,2.28,0.75,1.93,1.84,0.44,0.35,2.54,5.79,3.16,0.75,0.35,1.54,1.8,0.96,27.89,5,101
1.26,0.7,0.91,1.83,0.52,1.74,2.13,0.3,0.48,2.22,6.52,5.83,0.83,0.26,1.61,1.35,0.83,29.58,6,101
1.31,0.59,0.97,1.74,0.72,1.61,2.67,0.21,0.38,2.92,3.9,4.07,0.85,0.34,1.4,1.23,0.89,25.97,7,101
3.4,0.59,1.4,2.94,0.63,2.17,1.99,0.14,0.14,3.08,2.67,5.16,1.18,0.45,0.91,1.31,0.81,28.97,8,101
1.1,0.3,0.93,1.19,0.89,0.98,1.57,0.08,0.04,2.42,3.36,4.59,1.27,0.3,2.12,2.17,0.38,23.82,9,101
1.98,0.25,0.93,2.19,0.8,1.86,2.32,0.51,0.08,2.61,4.68,4.01,0.63,0.25,1.98,1.77,0.55,27.44,10,101
1.75,0.64,0.72,1.19,0.13,0.55,0.94,0.13,0,2.94,2.64,5.19,2.68,1.19,3.02,1.06,1.02,26.05,11,101
1.99,1.02,1.52,1.14,0.3,1.78,1.14,0.17,0.21,2.2,5.71,3.21,2.45,0.8,3.09,1.95,1.02,30.17,12,101
2.42,0.79,0.88,0.92,0.4,1.62,0.66,0,0.18,2.72,3.12,4.57,2.37,0.83,2.9,0.57,0.83,26.31,13,101
1.19,0.51,1.06,1.61,0.55,1.7,2.21,0.21,0.13,2.34,5.05,6.07,1.02,0.81,2.08,1.06,0.98,28.75,14,101
1.73,0.97,0.84,1.27,0.59,2.4,1.9,0.21,0.25,2.99,4.98,4.01,1.22,0.72,2.83,1.27,1.35,29.91,15,101
0.99,0.79,0.44,2.02,0.12,1.39,0.83,0.32,0.2,2.22,3.4,6.06,1.54,0.51,0.95,0.99,0.71,23.68,16,101
1.19,0.95,0.25,1.36,0.25,0.62,1.15,0.37,0.29,2.18,2.6,6.88,0.87,0.49,1.24,1.36,0.91,23.29,17,101
0.95,0.91,0.2,1.43,0.32,0.71,1.19,0.12,0,1.98,2.93,6.58,0.44,0.2,0.91,1.63,0.67,21.25,18,101
1.09,0.21,1.18,0.84,0.42,1.26,1.14,0.5,0.08,2.27,4.21,7.32,1.51,0.29,2.52,1.51,1.26,27.74,19,101
1.31,0.42,1.23,0.81,0.64,1.06,1.31,0.04,0.04,2.59,4.2,6.02,0.55,0.42,3.77,1.7,1.14,27.29,20,101
1.26,0.48,1.66,0.96,1,1.35,1.61,0.26,0.13,2.7,4.27,6.58,1.35,0.39,3.27,1.26,1.57,30.32,21,101
1.45,0.29,1.04,1.45,0.46,1.37,2.37,0.08,0,2.24,4.4,6.65,1.08,0.5,2.58,1.2,0.54,27.74,22,101
1.33,0.41,0.75,0.91,0.41,1.2,1.99,0.12,0.17,2.07,3.56,4.85,0.66,0.5,2.07,1.41,0.54,23.07,23,101
0.76,0.13,0.8,1.26,0.93,0.67,2.23,0,0,2.73,3.36,8.33,1.14,0.25,2.61,1.18,1.68,28.06,24,101
1.66,0.17,1.08,1.04,0.5,1.04,1.71,0.21,0.08,1.54,4.33,4.87,1.16,0.42,2.37,1.33,0.96,24.76,25,101
1.49,0.38,0.26,0.94,0.38,1.75,1.02,0.09,0.17,2.73,2.6,5.34,1.37,0.3,1.45,1.49,0.68,22.44,26,101
