1922,2388,1898,1
1880,2327,1832,1
1847,2281,1842,1
1859,2330,1869,1
1931,2306,1853,1
1936,2280,1869,1
1876,2388,1927,1
1838,2354,1892,1
1826,2316,1823,1
1833,2327,1840,1
1868,2281,1828,1
1942,2334,1794,1
1848,2282,1800,1
1776,2367,1771,1
1893,2345,1831,1
1918,2345,1852,1
1933,2295,1882,1
1947,2279,1888,1
1952,2321,1883,1
1926,2344,1863,1
1888,2317,1830,1
1902,2322,1823,1
1889,2322,1836,1
1884,2373,1815,1
1886,2319,1854,1
1900,2350,1871,1
1900,2355,1862,1
1905,2350,1859,1
1910,2379,1833,1
1914,2397,1830,1
1901,2384,1850,1
1839,2230,1857,1
1898,2320,1838,1
1916,2331,1851,1
1877,2264,1845,1
1890,2238,1830,1
1852,2297,1890,1
1863,2295,1841,1
1894,2323,1805,1
1874,2331,1818,1
1899,2331,1847,1
1854,2293,1815,1
1866,2293,1811,1
1864,2310,1815,1
1865,2296,1831,1
1869,2301,1838,1
1871,2296,1824,1
1886,2284,1830,1
1868,2290,1818,1
1872,2301,1811,1
1881,2300,1821,1
1868,2311,1823,1
1901,2410,1841,1
1904,2290,1881,1
1797,2155,1758,1
1826,2332,1762,1
1827,2341,1740,1
1812,2287,1761,1
1848,2254,1783,1
1870,2253,1761,1
1875,2241,1738,1
1885,2229,1762,1
1874,2256,1762,1
1883,2293,1772,1
1847,2349,1861,1
1855,2284,1855,1
1855,2279,1807,1
1857,2285,1795,1
1863,2290,1802,1
1869,2293,1803,1
1870,2301,1804,1
1871,2297,1800,1
1876,2296,1802,1
1871,2299,1802,1
1863,2304,1807,1
1859,2294,1806,1
1855,2295,1811,1
1844,2283,1807,1
1841,2264,1823,1
1845,2283,1813,1
1839,2286,1802,1
1846,2286,1800,1
1846,2283,1795,1
1850,2292,1794,1
1858,2294,1799,1
1853,2282,1820,1
1856,2273,1813,1
1856,2275,1798,1
1853,2275,1811,1
1848,2289,1799,1
1850,2286,1796,1
1844,2284,1793,1
1849,2281,1799,1
1860,2295,1788,1
1842,2282,1802,1
1854,2283,1810,1
1857,2293,1807,1
1859,2287,1797,1
1855,2282,1801,1
1854,2284,1802,1
1863,2280,1803,1
1866,2296,1791,1
1854,2284,1781,1
1849,2292,1807,1
1854,2289,1805,1
1857,2281,1803,1
1852,2285,1794,1
1853,2290,1806,1
1859,2285,1806,1
1859,2289,1805,1
1858,2281,1802,1
1855,2295,1809,1
1853,2290,1805,1
1851,2286,1802,1
1852,2289,1802,1
1857,2284,1804,1
1864,2282,1794,1
1870,2293,1793,1
1856,2283,1789,1
1853,2271,1808,1
1866,2289,1796,1
1859,2301,1783,1
1860,2287,1804,1
1851,2272,1808,1
1871,2263,1813,1
1864,2285,1795,1
1844,2281,1795,1
1837,2278,1810,1
1833,2258,1827,1
1854,2281,1814,1
1845,2300,1785,1
1866,2289,1800,1
1832,2279,1782,1
1889,2282,1790,1
1872,2293,1791,1
1863,2291,1798,1
1867,2304,1792,1
1856,2307,1780,1
1854,2282,1799,1
1851,2278,1804,1
1856,2278,1800,1
1853,2272,1801,1
1858,2290,1798,1
1863,2305,1785,1
1857,2301,1789,1
1861,2324,1790,1
1860,2255,1801,1
1866,2258,1815,1
1862,2280,1807,1
1871,2301,1794,1
1874,2298,1794,1
1871,2261,1824,1
1877,2278,1807,1
1857,2261,1817,1
1860,2276,1787,1
1863,2283,1789,1
1869,2286,1797,1
1877,2292,1795,1
1864,2309,1785,1
1862,2291,1798,1
1864,2282,1803,1
1860,2277,1799,1
1864,2282,1802,1
1870,2289,1802,1
1871,2280,1800,1
1877,2281,1799,1
1872,2286,1798,1
1868,2295,1798,1
1875,2255,1804,1
1868,2297,1776,1
1858,2291,1798,1
1857,2292,1800,1
1858,2293,1799,1
1861,2299,1804,1
1880,2296,1809,1
1879,2315,1798,1
1871,2312,1792,1
1867,2262,1812,1
1863,2269,1815,1
1880,2276,1801,1
1877,2299,1788,1
1882,2300,1792,1
1870,2299,1779,1
1875,2287,1788,1
1879,2257,1786,1
1887,2271,1779,1
1895,2282,1776,1
1942,2502,1871,1
1881,2319,1755,1
1875,2271,1799,1
1878,2233,1765,1
1879,2225,1749,1
1881,2205,1755,1
1875,2195,1778,1
1881,2198,1781,1
1887,2182,1798,1
1883,2212,1814,1
1884,2267,1817,1
1877,2316,1790,1
1861,2383,1798,1
1833,2384,1845,1
1862,2238,1858,1
1836,2396,1827,1
1868,2309,1818,1
1873,2283,1863,1
1851,2299,1849,1
1845,2298,1831,1
1843,2292,1824,1
1860,2295,1823,1
1869,2305,1831,1
1870,2302,1838,1
1874,2301,1848,1
1861,2303,1845,1
1865,2295,1843,1
1872,2307,1839,1
1870,2322,1834,1
1885,2314,1840,1
1896,2334,1850,1
1924,2322,1862,1
1900,2363,1886,1
1909,2347,1892,1
1903,2341,1895,1
1920,2347,1903,1
1895,2378,1890,1
1909,2342,1913,1
1910,2341,1899,1
1923,2343,1917,1
1927,2357,1913,1
1944,2360,1935,1
1942,2362,1937,1
1939,2353,1951,1
1945,2361,1956,1
1941,2354,1956,1
1950,2344,1964,1
1947,2349,1966,1
1948,2357,1948,1
1945,2362,1951,1
1964,2359,1965,1
1959,2363,1982,1
1965,2366,1999,1
1984,2359,2003,1
1986,2362,2026,1
1977,2355,2027,1
1967,2336,2027,1
1958,2343,2016,1
1967,2354,2021,1
1971,2369,2029,1
1977,2367,2030,1
1983,2361,2028,1
1989,2358,2031,1
1993,2360,2037,1
1983,2356,2043,1
1980,2354,2047,1
1979,2356,2048,1
1982,2347,2032,1
1970,2348,2032,1
1972,2351,2046,1
1968,2359,2039,1
1948,2365,2031,1
1963,2366,2038,1
1978,2357,2052,1
1977,2345,2052,1
1966,2362,2060,1
1959,2359,2066,1
1966,2363,2074,1
1962,2365,2077,1
1975,2374,2077,1
1977,2365,2071,1
1974,2362,2079,1
1979,2355,2086,1
1983,2345,2082,1
2002,2340,2079,1
2021,2350,2081,1
2031,2357,2077,1
2030,2365,2073,1
2025,2352,2053,1
2007,2339,2047,1
